STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_prc,Components of energy prices,nrg_cons,Energy consumption,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AL,Albania,2020,,0.0447,,e,estimated,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AL,Albania,2021,,0.0455,,e,estimated,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AL,Albania,2022,,0.0474,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AL,Albania,2023,,0.0529,,e,estimated,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AL,Albania,2024,,0.0559,,e,estimated,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2017,,0.0589,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2018,,0.0608,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2019,,0.0606,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2020,,0.0560,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2021,,0.0674,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2022,,0.0659,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2023,,0.0774,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,AT,Austria,2024,,0.0837,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2017,,0.0424,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2018,,0.0419,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2019,,0.0405,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2020,,0.0441,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2021,,0.0441,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2022,,0.0441,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2023,,0.0616,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BA,Bosnia and Herzegovina,2024,,0.0503,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2017,,0.0931,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2018,,0.1109,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2019,,0.1153,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2020,,0.1044,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2021,,0.0993,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2022,,0.0943,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2023,,0.0830,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BE,Belgium,2024,,0.0841,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2017,,0.0278,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2018,,0.0261,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2019,,0.0277,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2020,,0.0284,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2021,,0.0337,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2022,,0.0449,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2023,,0.0516,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,BG,Bulgaria,2024,,0.0388,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2017,,0.0313,,d,definition differs (see metadata),,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2018,,0.0320,,,,,
dataflow,ESTAT:NRG_PC_205_C$DEFAULTVIEW(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH_LT20,Consumption less than 20 MWh - band IA,EUR,Euro,CY,Cyprus,2019,,0.0314,,,,,
